description,hs_code,category,sample_type,confusable_with,classification_note
"Outdoor men's durable navy flannel shirt, insulated, button-front, woven cotton, size M, cold weather, not knitted.",6205,Men's shirts — not knitted or crocheted (woven),standard,,Clear standard sample: contains primary identifying keywords.
"Deep-sea submersible digital camera, 20 megapixel, pressure-rated, with a specialized dome optical lens.",8525,Cameras and broadcast transmission apparatus,standard,,"Clear standard sample: contains primary identifying keywords (digital camera, megapixel, optical, lens)."
Rigid PVC 6-drawer storage chest tower on casters stackable black,3926,Other articles of plastics,overlapping,9403.0,WCO GRI 3(b): plastic article (3926); chest of drawers function suggests 9403 but plastic construction and non-dedicated furniture purpose prevails.
Acrylic retail countertop display riser 3-tier product elevation stand clear,3926,Other articles of plastics,standard,,Clear standard: acrylic + display riser.
Injection-molded nylon cable tie assortment 300-piece self-locking zip tie pack mixed sizes,3926,Other articles of plastics,standard,,Clear standard: nylon + molded cable ties.
Compact external adapter for establishing high-speed digital data links with remote infrastructure.,8517,Telecommunications apparatus,ambiguous,,Ambiguous: missing primary identifier 'modem' or 'cellular data dongle'; inferrable from functional context.
"Ruggedized tablet with integrated professional-grade camera for site inspections, featuring advanced cellular communication capabilities.",8517,Telecommunications apparatus,overlapping,8525.0,"WCO GRI Rule 1: Primary function is voice/data transmission (8517), not optical recording (8525), even if device has a high-quality camera."
"A robust, bucket-shaped article used for temporarily holding domestic waste before disposal.",3926,Other articles of plastics,ambiguous,,Ambiguous: missing primary identifier 'plastic'; inferrable from functional context.
Molded HDPE plastic carry case shaped with drawer-style access panels for desk organisation,3926,Other articles of plastics,edge_case,9403.0,Edge case: subject is plastic case (3926); modifier 'desk organisation' and 'drawer-style' are furniture trap keywords from 9403.
"SportLux men's athletic performance jersey T-shirt, moisture-wicking, grey, XL.",6109,"T-shirts, singlets and vests — knitted or crocheted",standard,,Clear standard sample: contains primary identifying keywords.
"Performance athletic shell for sports, sleeveless, manufactured from a moisture-wicking material for peak performance.",6109,"T-shirts, singlets and vests — knitted or crocheted",ambiguous,,"Ambiguous: missing primary identifiers 'singlet' and 'knitted'; inferrable from 'athletic shell', 'sleeveless', and 'moisture-wicking material'."
"Children's cotton vest, lightweight and knitted, perfect for wearing beneath an Oxford cloth button-down shirt.",6109,"T-shirts, singlets and vests — knitted or crocheted",edge_case,6205.0,"Edge case: subject is 6109 product (vest); modifier contains 6205 trap keywords (Oxford, button-down)."
"Modular interlocking heavy-duty plastic shelving system, creating versatile storage for garage tools and supplies.",9403,Other furniture and parts thereof,overlapping,3926.0,"WCO GRI Rule 1: Primary function (furniture/seating/storage as part of household furnishing) takes precedence over material. A plastic outdoor chair is 9403, not 3926."
"Boxy fit woven seersucker camp shirt, designed for untucked wear, resembling an elevated casual tee.",6205,Men's shirts — not knitted or crocheted (woven),overlapping,6109.0,"WCO GRI Rule 1: A garment described as a 'shirt' in woven fabric is 6205. However, if constructed from jersey or knitted fabric, it reverts to 6109 regardless of styling."
Set of 5 clear polypropylene airtight food storage containers BPA-free stackable,3926,Other articles of plastics,standard,,Clear standard: polypropylene + storage container.
"Men's non-iron blue solid dress shirt, woven fabric, standard fit, size 17 neck, wrinkle-resistant, not knitted.",6205,Men's shirts — not knitted or crocheted (woven),standard,,Clear standard sample: contains primary identifying keywords.
"Men's formal business shirt, featuring a structured collar, suitable for office environments where knitted tops are prohibited.",6205,Men's shirts — not knitted or crocheted (woven),edge_case,6109.0,Edge case: subject 'formal business shirt' (6205) modified by 'knitted tops' (6109 trap keywords).
"EcoWear women's sustainable bamboo blend knitted singlet, lavender, size M, comfy.",6109,"T-shirts, singlets and vests — knitted or crocheted",standard,,Clear standard sample: contains primary identifying keywords.
HDPE plastic 20L fuel-grade jerry can red UN-certified transport container,3926,Other articles of plastics,standard,,Clear standard: HDPE + fuel container.
"White ceramic top bathroom vanity cabinet, 36-inch, for sink installation, home furniture.",9403,Other furniture and parts thereof,standard,,"Clear standard sample: contains primary identifying keywords (cabinet, furniture)."
"Rectangular mahogany dining table, seats 8, elegant home furniture item.",9403,Other furniture and parts thereof,standard,,"Clear standard sample: contains primary identifying keywords (table, furniture)."
"Samsung Galaxy S23 Ultra 5G smartphone, black, 256GB storage, for mobile network communication.",8517,Telecommunications apparatus,standard,,Clear standard sample: contains primary identifying keywords.
"Kids' vibrant yellow crocheted T-shirt with short sleeves, cotton, size 6, summer.",6109,"T-shirts, singlets and vests — knitted or crocheted",standard,,Clear standard sample: contains primary identifying keywords.
"L-shaped executive desk in walnut veneer, with built-in storage cabinets.",9403,Other furniture and parts thereof,standard,,"Clear standard sample: contains primary identifying keywords (desk, cabinets)."
"Boys' short-sleeve blue Oxford shirt, pure woven cotton, size 10, for school uniform, not knitted.",6205,Men's shirts — not knitted or crocheted (woven),standard,,Clear standard sample: contains primary identifying keywords.
"High-resolution drone camera payload, 20 megapixel, featuring a gimbal-stabilized optical zoom lens for aerial video.",8525,Cameras and broadcast transmission apparatus,standard,,"Clear standard sample: contains primary identifying keywords (drone camera, megapixel, optical, lens)."
Office chair featuring ergonomically designed injection-molded plastic armrests and a durable polypropylene base for enhanced support.,9403,Other furniture and parts thereof,edge_case,3926.0,"Edge case: subject is 9403 product; modifier contains 3926 trap keywords (injection-molded, plastic, polypropylene)."
Centralized electronic brain orchestrating bidirectional information exchange across a localized enterprise ecosystem.,8517,Telecommunications apparatus,ambiguous,,Ambiguous: missing primary identifier 'PBX' or 'communication server'; inferrable from functional context.
"Youth athletic grey jersey singlet with logo print, polyester, size 10, workout.",6109,"T-shirts, singlets and vests — knitted or crocheted",standard,,Clear standard sample: contains primary identifying keywords.
Polypropylene stackable storage box 64L translucent lid with handles,3926,Other articles of plastics,standard,,Clear standard: polypropylene + storage box.
"Organic cotton baby blue crewneck T-shirt, knitted fabric, size 12-18 months, soft.",6109,"T-shirts, singlets and vests — knitted or crocheted",standard,,Clear standard sample: contains primary identifying keywords.
"Collarless woven chambray shirt with a modest button placket, mirroring a sophisticated short-sleeve tee.",6205,Men's shirts — not knitted or crocheted (woven),overlapping,6109.0,"WCO GRI Rule 1: A garment described as a 'shirt' in woven fabric is 6205. However, if constructed from jersey or knitted fabric, it reverts to 6109 regardless of styling."
Compact apparatus creating an localized area of radio frequency connectivity for portable computing.,8517,Telecommunications apparatus,ambiguous,,Ambiguous: missing primary identifier 'WiFi' or 'access point'; inferrable from functional context.
"Canon EOS R5 DSLR camera body, 45 megapixel full-frame sensor, includes a standard 24-105mm optical lens.",8525,Cameras and broadcast transmission apparatus,standard,,"Clear standard sample: contains primary identifying keywords (DSLR, camera, megapixel, optical, lens)."
Compact audio interface transforming speech into digital streams for distant synchronous dialogue.,8517,Telecommunications apparatus,ambiguous,,Ambiguous: missing primary identifier 'VoIP adapter' or 'telephone'; inferrable from functional context.
"Full-button men's garment resembling a woven shirt, made from a fine gauge knitted cotton blend.",6109,"T-shirts, singlets and vests — knitted or crocheted",overlapping,6205.0,"WCO GRI Rule 1: Fabric construction (knitted jersey) takes precedence over garment style. A knitted polo shirt with collar and buttons is 6109, not 6205."
"A narrow, elevated surface with integrated hooks and small compartments for entryway articles.",9403,Other furniture and parts thereof,ambiguous,,Ambiguous: missing primary identifier 'table' or 'console'; inferrable from functional context.
Nylon plastic cable management box with lid desktop cord organizer grey,3926,Other articles of plastics,standard,,Clear standard: nylon plastic + cable organizer.
Heavy-duty HDPE outdoor rubbish bin 240L with hinged lid UV-stabilized black,3926,Other articles of plastics,standard,,Clear standard: HDPE + bin.
"Long-sleeve men's button-down shirt in soft cotton modal blend jersey knit, with single chest pocket.",6109,"T-shirts, singlets and vests — knitted or crocheted",overlapping,6205.0,"WCO GRI Rule 1: Fabric construction (knitted jersey) takes precedence over garment style. A knitted polo shirt with collar and buttons is 6109, not 6205."
"4K professional webcam, 20 megapixel sensor, with a wide-angle optical lens for high-quality video broadcasts.",8525,Cameras and broadcast transmission apparatus,standard,,"Clear standard sample: contains primary identifying keywords (webcam, megapixel, optical, lens, video, broadcasts)."
"Men's long-sleeve black dress shirt, woven twill fabric, slim cut, size 38, formal evening wear, not knitted.",6205,Men's shirts — not knitted or crocheted (woven),standard,,Clear standard sample: contains primary identifying keywords.
HDPE blow-molded plastic storage unit resembling an open shelving bookcase five-tier design white,3926,Other articles of plastics,edge_case,9403.0,Edge case: subject is plastic storage unit (3926); modifier 'shelving bookcase five-tier' mimics furniture (9403) vocabulary.
"Men's denim button-up shirt, a durable outer layer designed to be worn over a simple T-shirt or crocheted vest.",6205,Men's shirts — not knitted or crocheted (woven),edge_case,6109.0,Edge case: subject 'denim button-up shirt' (6205) modified by 'T-shirt' and 'crocheted vest' (6109 trap keywords).
"Business casual men's jersey knit shirt featuring a structured point collar, hidden button placket, and cuffed sleeves.",6109,"T-shirts, singlets and vests — knitted or crocheted",overlapping,6205.0,"WCO GRI Rule 1: Fabric construction (knitted jersey) takes precedence over garment style. A knitted polo shirt with collar and buttons is 6109, not 6205."
Compact security device offering 4K video surveillance and two-way audio communication via built-in 5G.,8517,Telecommunications apparatus,overlapping,8525.0,"WCO GRI Rule 1: Primary function is voice/data transmission (8517), not optical recording (8525), even if device has a high-quality camera."
"Heavy-duty metal filing cabinet, 4-drawer, essential office storage furniture.",9403,Other furniture and parts thereof,standard,,"Clear standard sample: contains primary identifying keywords (cabinet, furniture)."
"Glass-top coffee table with polished chrome legs, living room accent furniture.",9403,Other furniture and parts thereof,standard,,"Clear standard sample: contains primary identifying keywords (table, furniture)."
"A collared upper body garment for men, with long sleeves and buttoned cuffs, made from crisp cotton poplin.",6205,"Men's or boys' shirts, not knitted or crocheted (woven)",ambiguous,,"Ambiguous: missing primary identifier 'shirt'; inferrable from 'collared upper body garment for men,' 'long sleeves and buttoned cuffs,' and 'crisp cotton poplin' (woven fabric)."
"Kids' cartoon print cotton knitted crewneck T-shirt, red, short sleeve, size 4T.",6109,"T-shirts, singlets and vests — knitted or crocheted",standard,,Clear standard sample: contains primary identifying keywords.
"Ubiquiti UniFi US-8-60W 8-port PoE+ network switch, managed, for powering IP cameras and access points.",8517,Telecommunications apparatus,standard,,Clear standard sample: contains primary identifying keywords.
"Slim metal console table for hallway entrance, a modern accent furniture piece.",9403,Other furniture and parts thereof,standard,,"Clear standard sample: contains primary identifying keywords (table, furniture)."
"Segmented seed starting flats, allowing individual growth environments for numerous young plants.",3926,Other articles of plastics,ambiguous,,Ambiguous: missing primary identifier 'plastic'; inferrable from functional context.
"A tall, slender unit with multiple enclosed compartments for culinary provisions and utensils.",9403,Other furniture and parts thereof,ambiguous,,Ambiguous: missing primary identifier 'cabinet' or 'pantry'; inferrable from functional context.
"Ethernet network switch optimized for surveillance systems, managing multiple IP cameras and their associated 4K video feeds.",8517,Telecommunications apparatus,edge_case,8525.0,"Edge case: subject is 'Ethernet network switch' (8517); modifier contains 8525 trap keywords ('IP cameras', '4K video')."
"GoPro HERO11 Black action camera, 5K video recorder, waterproof design, with a wide-angle optical lens.",8525,Cameras and broadcast transmission apparatus,standard,,"Clear standard sample: contains primary identifying keywords (action camera, video recorder, optical, lens)."
Blow-molded HDPE outdoor garden tool storage shed 150x100cm weather resistant,3926,Other articles of plastics,overlapping,9403.0,WCO GRI 3(b): plastic article (3926) over furniture (9403); primary material and construction method is plastic blow-moulding.
"Ladies' striped crewneck T-shirt, fine gauge knitted rayon, short sleeve, size M.",6109,"T-shirts, singlets and vests — knitted or crocheted",standard,,Clear standard sample: contains primary identifying keywords.
"RED Komodo 6K cinema camera, Super 35 sensor, professional video recorder, requiring separate optical lenses.",8525,Cameras and broadcast transmission apparatus,standard,,"Clear standard sample: contains primary identifying keywords (cinema camera, video recorder, optical, lenses)."
Remote inspection tool with an articulated camera and integrated cellular module for instant data transmission to control center.,8517,Telecommunications apparatus,overlapping,8525.0,"WCO GRI Rule 1: Primary function is voice/data transmission (8517), not optical recording (8525), even if device has a high-quality camera."
"Casual overpiece for men, crafted from soft chambray, featuring roll-up sleeves and chest flap pockets.",6205,"Men's or boys' shirts, not knitted or crocheted (woven)",ambiguous,,"Ambiguous: missing primary identifier 'shirt'; inferrable from 'casual overpiece for men,' 'chambray' (woven fabric), 'roll-up sleeves,' and 'chest flap pockets'."
"Men's black cotton knitted crewneck T-shirt, short sleeve, size L, casual wear.",6109,"T-shirts, singlets and vests — knitted or crocheted",standard,,Clear standard sample: contains primary identifying keywords.
"A rigid, lightweight sheath offering impact resistance for small portable electronic devices.",3926,Other articles of plastics,ambiguous,,Ambiguous: missing primary identifier 'plastic'; inferrable from functional context.
"Men's knitted t-shirt, specifically designed as an undershirt for a formal button-down woven dress shirt.",6109,"T-shirts, singlets and vests — knitted or crocheted",edge_case,6205.0,"Edge case: subject is 6109 product (t-shirt); modifier contains 6205 trap keywords (formal, button-down, woven, dress shirt)."
"Digital transceiver for remote control and data transmission to professional broadcast camera systems, including lens adjustments.",8517,Telecommunications apparatus,edge_case,8525.0,"Edge case: subject is 'digital transceiver' (8517); modifier contains 8525 trap keywords ('broadcast camera systems', 'lens')."
"Unisex basic white crewneck singlet, breathable knitted cotton, size XS, layering.",6109,"T-shirts, singlets and vests — knitted or crocheted",standard,,Clear standard sample: contains primary identifying keywords.
Clear polycarbonate storage tray organizer designed for top-of-wardrobe shelf space,3926,Other articles of plastics,edge_case,9403.0,Edge case: subject is plastic tray (3926); modifier 'top-of-wardrobe shelf' is furniture trap keyword from 9403.
"A multi-compartment desktop caddy designed to organize pens, clips, and small office supplies.",3926,Other articles of plastics,ambiguous,,Ambiguous: missing primary identifier 'plastic'; inferrable from functional context.
Terrestrial radio frequency emitter for conveying live performance signals to a distribution network.,8525,Cameras and broadcast transmission apparatus,ambiguous,,Ambiguous: missing primary identifier 'camera'; inferrable from functional context.
"Women's comfortable sleeveless garment, made from a soft, pliant fabric ideal for layering or warm weather.",6109,"T-shirts, singlets and vests — knitted or crocheted",ambiguous,,"Ambiguous: missing primary identifiers 'singlet' and 'knitted'; inferrable from 'sleeveless garment' and 'soft, pliant fabric'."
"Professional top for male office wear, crafted from fine broadcloth with a tailored fit and front opening.",6205,"Men's or boys' shirts, not knitted or crocheted (woven)",ambiguous,,"Ambiguous: missing primary identifier 'shirt'; inferrable from 'professional top for male office wear,' 'broadcloth' (woven fabric), and 'tailored fit and front opening'."
"Child's bedroom wardrobe, 2-door, made from painted MDF, compact furniture.",9403,Other furniture and parts thereof,standard,,"Clear standard sample: contains primary identifying keywords (wardrobe, furniture)."
"Women's oversized vintage-style jersey T-shirt, drop shoulder, soft pink, XL.",6109,"T-shirts, singlets and vests — knitted or crocheted",standard,,Clear standard sample: contains primary identifying keywords.
"Iridium 9555 satellite telephone, ruggedized, for global voice communication over specialized networks.",8517,Telecommunications apparatus,standard,,Clear standard sample: contains primary identifying keywords.
Decorative and functional panels fabricated from durable polymers for vehicle cabin aesthetics.,3926,Other articles of plastics,ambiguous,,Ambiguous: missing primary identifier 'plastic'; inferrable from functional context.
"Boys' short-sleeve white Oxford shirt, poly-cotton blend, size 12, durable school wear, not knitted.",6205,Men's shirts — not knitted or crocheted (woven),standard,,Clear standard sample: contains primary identifying keywords.
Polycarbonate water bottle 1L wide-mouth BPA-free leak-proof lid sports,3926,Other articles of plastics,standard,,Clear standard: polycarbonate + bottle.
A freestanding apparatus designed for organizing folded apparel and accessories within a sleeping area.,9403,Other furniture and parts thereof,ambiguous,,Ambiguous: missing primary identifier 'wardrobe' or 'dresser'; inferrable from functional context.
"Arris SURFboard SB8200 DOCSIS 3.1 cable modem, black, for high-speed internet access via wired network.",8517,Telecommunications apparatus,standard,,Clear standard sample: contains primary identifying keywords.
Injection-molded polypropylene kitchen colander strainer 5L with double handle white,3926,Other articles of plastics,standard,,Clear standard: polypropylene + colander.
Rigid polystyrene egg carton storage tray 30-cell catering size clear,3926,Other articles of plastics,standard,,Clear standard: polystyrene + egg tray.
"Women's white sleeveless viscose jersey singlet, round neck, size S, undershirt.",6109,"T-shirts, singlets and vests — knitted or crocheted",standard,,Clear standard sample: contains primary identifying keywords.
"Refurbished Apple iPhone 13 Pro Max 5G smartphone, Sierra Blue, 128GB, unlocked, for mobile communication.",8517,Telecommunications apparatus,standard,,Clear standard sample: contains primary identifying keywords.
"BasicEssential men's pure cotton knitted crewneck T-shirt pack of three, white, L.",6109,"T-shirts, singlets and vests — knitted or crocheted",standard,,Clear standard sample: contains primary identifying keywords.
ABS plastic wall-mounted bathroom toilet brush holder with bracket white,3926,Other articles of plastics,standard,,Clear standard: ABS plastic + household holder.
Calix GigaCenter 844G G-PON ONT fiber optic modem with built-in WiFi router for residential broadband.,8517,Telecommunications apparatus,standard,,Clear standard sample: contains primary identifying keywords.
