description,hs_code,category,sample_type,confusable_with,classification_note
"Men's polo-style top crafted from knitted oxford fabric, featuring a crisp button-down collar and two-button placket.",6109,"T-shirts, singlets and vests — knitted or crocheted",overlapping,6205.0,"WCO GRI Rule 1: Fabric construction (knitted jersey) takes precedence over garment style. A knitted polo shirt with collar and buttons is 6109, not 6205."
"Men's formal business shirt, featuring a structured collar, suitable for office environments where knitted tops are prohibited.",6205,Men's shirts — not knitted or crocheted (woven),edge_case,6109.0,Edge case: subject 'formal business shirt' (6205) modified by 'knitted tops' (6109 trap keywords).
"UHD drone camera system with stabilized gimbal, long-range cellular data link for live FPV and command signals.",8525,Cameras and broadcast transmission apparatus,overlapping,8517.0,"WCO GRI Rule 1: Primary function is optical image capture/broadcast (8525), not voice/data transmission (8517), even if device has WiFi or streaming capability."
A freestanding apparatus designed for organizing folded apparel and accessories within a sleeping area.,9403,Other furniture and parts thereof,ambiguous,,Ambiguous: missing primary identifier 'wardrobe' or 'dresser'; inferrable from functional context.
"Child-safe, ergonomic molded plastic study chair featuring integrated desk surface for toddlers.",9403,Other furniture and parts thereof,overlapping,3926.0,"WCO GRI Rule 1: Primary function (furniture/seating/storage as part of household furnishing) takes precedence over material. A plastic outdoor chair is 9403, not 3926."
Small C-shaped hooks designed to suspend a textile curtain from a shower rod.,3926,Other articles of plastics,ambiguous,,Ambiguous: missing primary identifier 'plastic'; inferrable from functional context.
"A robust, glass-enclosed edifice with internal illumination for showcasing retail merchandise.",9403,Other furniture and parts thereof,ambiguous,,Ambiguous: missing primary identifier 'cabinet' or 'display case'; inferrable from functional context.
"Women's delicate crocheted lace vest top, cream, summer style, size L, beachwear.",6109,"T-shirts, singlets and vests — knitted or crocheted",standard,,Clear standard sample: contains primary identifying keywords.
"Handheld digital video recorder, Full HD, integrated camera with a fixed wide-angle optical lens for field use.",8525,Cameras and broadcast transmission apparatus,standard,,"Clear standard sample: contains primary identifying keywords (digital video recorder, camera, optical, lens)."
Apparatus for propagating multimedia signals across wide geographic areas via radio waves.,8525,Cameras and broadcast transmission apparatus,ambiguous,,Ambiguous: missing primary identifier 'camera'; inferrable from functional context.
"Large grey fabric wardrobe with metal frame, for bedroom clothes storage furniture.",9403,Other furniture and parts thereof,standard,,"Clear standard sample: contains primary identifying keywords (wardrobe, furniture)."
Office chair featuring ergonomically designed injection-molded plastic armrests and a durable polypropylene base for enhanced support.,9403,Other furniture and parts thereof,edge_case,3926.0,"Edge case: subject is 9403 product; modifier contains 3926 trap keywords (injection-molded, plastic, polypropylene)."
"L-shaped executive desk in walnut veneer, with built-in storage cabinets.",9403,Other furniture and parts thereof,standard,,"Clear standard sample: contains primary identifying keywords (desk, cabinets)."
Decorative and functional panels fabricated from durable polymers for vehicle cabin aesthetics.,3926,Other articles of plastics,ambiguous,,Ambiguous: missing primary identifier 'plastic'; inferrable from functional context.
Adjustable height school desk featuring a hard-wearing PVC edge banding and an integrated molded plastic seat for student comfort.,9403,Other furniture and parts thereof,edge_case,3926.0,"Edge case: subject is 9403 product; modifier contains 3926 trap keywords (PVC, molded, plastic)."
"Floating wall shelf set (3-piece), white MDF, modern home furniture.",9403,Other furniture and parts thereof,standard,,"Clear standard sample: contains primary identifying keywords (shelf, furniture)."
"Men's button-down long-sleeve shirt, made from non-knitted fabric, intended for casual wear complementing a jersey singlet.",6205,Men's shirts — not knitted or crocheted (woven),edge_case,6109.0,Edge case: subject 'button-down shirt' (6205) modified by 'knitted' and 'jersey singlet' (6109 trap keywords).
"Ethernet network switch optimized for surveillance systems, managing multiple IP cameras and their associated 4K video feeds.",8517,Telecommunications apparatus,edge_case,8525.0,"Edge case: subject is 'Ethernet network switch' (8517); modifier contains 8525 trap keywords ('IP cameras', '4K video')."
"A low-slung platform crafted from dark veneer, intended to support entertainment electronics and media.",9403,Other furniture and parts thereof,ambiguous,,Ambiguous: missing primary identifier 'cabinet' or 'stand'; inferrable from functional context.
"Vintage men's brown corduroy button-down shirt, long sleeve, heavy woven fabric, size M, not knitted.",6205,Men's shirts — not knitted or crocheted (woven),standard,,Clear standard sample: contains primary identifying keywords.
"Wi-Fi access point providing dedicated bandwidth for security cameras, supporting devices with high megapixel resolution.",8517,Telecommunications apparatus,edge_case,8525.0,"Edge case: subject is 'Wi-Fi access point' (8517); modifier contains 8525 trap keywords ('security cameras', 'megapixel resolution')."
Centralized electronic brain orchestrating bidirectional information exchange across a localized enterprise ecosystem.,8517,Telecommunications apparatus,ambiguous,,Ambiguous: missing primary identifier 'PBX' or 'communication server'; inferrable from functional context.
"UrbanKnit women's relaxed fit jersey T-shirt, pigment dyed cotton, charcoal, L.",6109,"T-shirts, singlets and vests — knitted or crocheted",standard,,Clear standard sample: contains primary identifying keywords.
"Samsung SmartThings Hub V3, a Z-Wave/Zigbee gateway for smart home device network control.",8517,Telecommunications apparatus,standard,,Clear standard sample: contains primary identifying keywords.
"Canon EOS R5 DSLR camera body, 45 megapixel full-frame sensor, includes a standard 24-105mm optical lens.",8525,Cameras and broadcast transmission apparatus,standard,,"Clear standard sample: contains primary identifying keywords (DSLR, camera, megapixel, optical, lens)."
"High-resolution drone camera payload, 20 megapixel, featuring a gimbal-stabilized optical zoom lens for aerial video.",8525,Cameras and broadcast transmission apparatus,standard,,"Clear standard sample: contains primary identifying keywords (drone camera, megapixel, optical, lens)."
Set of 5 clear polypropylene airtight food storage containers BPA-free stackable,3926,Other articles of plastics,standard,,Clear standard: polypropylene + storage container.
"Industrial pipe bookcase with solid wood shelves, open design study furniture.",9403,Other furniture and parts thereof,standard,,"Clear standard sample: contains primary identifying keywords (bookcase, shelves)."
Clear polycarbonate storage tray organizer designed for top-of-wardrobe shelf space,3926,Other articles of plastics,edge_case,9403,Edge case: subject is plastic tray (3926); modifier 'top-of-wardrobe shelf' is furniture trap keyword from 9403.
"A durable, washable vessel with handles, perfect for transporting produce and household provisions.",3926,Other articles of plastics,ambiguous,,Ambiguous: missing primary identifier 'plastic'; inferrable from functional context.
"A compact, night-adjacent companion piece with a small top surface and storage drawer.",9403,Other furniture and parts thereof,ambiguous,,Ambiguous: missing primary identifier 'nightstand' or 'table'; inferrable from functional context.
"ComfyCo unisex thermal merino wool knitted vest for layering, charcoal, size S.",6109,"T-shirts, singlets and vests — knitted or crocheted",standard,,Clear standard sample: contains primary identifying keywords.
"Professional video camera system featuring a dedicated streaming module, designed for direct connection to a local WiFi router.",8525,Cameras and broadcast transmission apparatus,edge_case,8517.0,"Edge case: subject is 8525 product; modifier contains 8517 trap keywords (router, WiFi)."
"Portable digital broadcast transmission apparatus, 1080p video input, for live event streaming.",8525,Cameras and broadcast transmission apparatus,standard,,"Clear standard sample: contains primary identifying keywords (broadcast, transmission apparatus, video)."
Molded HDPE plastic carry case shaped with drawer-style access panels for desk organisation,3926,Other articles of plastics,edge_case,9403,Edge case: subject is plastic case (3926); modifier 'desk organisation' and 'drawer-style' are furniture trap keywords from 9403.
Polypropylene reusable grocery shopping bag reinforced handles foldable compact green,3926,Other articles of plastics,standard,,Clear standard: polypropylene + reusable bag.
Retail display shelf constructed with a lightweight polypropylene frame and injection-molded plastic connecting components for quick assembly.,9403,Other furniture and parts thereof,edge_case,3926.0,"Edge case: subject is 9403 product; modifier contains 3926 trap keywords (polypropylene, injection-molded, plastic)."
Compact audio interface transforming speech into digital streams for distant synchronous dialogue.,8517,Telecommunications apparatus,ambiguous,,Ambiguous: missing primary identifier 'VoIP adapter' or 'telephone'; inferrable from functional context.
Remote inspection tool with an articulated camera and integrated cellular module for instant data transmission to control center.,8517,Telecommunications apparatus,overlapping,8525.0,"WCO GRI Rule 1: Primary function is voice/data transmission (8517), not optical recording (8525), even if device has a high-quality camera."
"White ceramic top bathroom vanity cabinet, 36-inch, for sink installation, home furniture.",9403,Other furniture and parts thereof,standard,,"Clear standard sample: contains primary identifying keywords (cabinet, furniture)."
"Structured oxford weave shirt, cut with a modern, relaxed fit, similar to a premium cotton tee.",6205,Men's shirts — not knitted or crocheted (woven),overlapping,6109.0,"WCO GRI Rule 1: A garment described as a 'shirt' in woven fabric is 6205. However, if constructed from jersey or knitted fabric, it reverts to 6109 regardless of styling."
"Professional 4K broadcast television camera, equipped with a 2/3-inch sensor and a high-quality Fujinon zoom lens.",8525,Cameras and broadcast transmission apparatus,standard,,"Clear standard sample: contains primary identifying keywords (broadcast, television camera, lens)."
"Rugged men's green plaid flannel shirt, lumberjack style, button-up front, size L, warm, not knitted.",6205,Men's shirts — not knitted or crocheted (woven),standard,,Clear standard sample: contains primary identifying keywords.
"Full-button men's garment resembling a woven shirt, made from a fine gauge knitted cotton blend.",6109,"T-shirts, singlets and vests — knitted or crocheted",overlapping,6205.0,"WCO GRI Rule 1: Fabric construction (knitted jersey) takes precedence over garment style. A knitted polo shirt with collar and buttons is 6109, not 6205."
"Men's classic white button-down dress shirt, long sleeve, 100% woven cotton, size M, not knitted.",6205,Men's shirts — not knitted or crocheted (woven),standard,,Clear standard sample: contains primary identifying keywords.
PVC rain-proof electrical cable conduit trunking 2-metre lengths grey,3926,Other articles of plastics,standard,,Clear standard: PVC + conduit/trunking.
"Men's short-sleeve navy blue linen shirt, resort wear, lightweight woven fabric, size M, not knitted.",6205,Men's shirts — not knitted or crocheted (woven),standard,,Clear standard sample: contains primary identifying keywords.
"A refined men's garment for evening wear, with a wing collar and stud fasteners, in a crisp voile.",6205,"Men's or boys' shirts, not knitted or crocheted (woven)",ambiguous,,"Ambiguous: missing primary identifier 'shirt'; inferrable from 'refined men's garment for evening wear,' 'wing collar,' 'stud fasteners,' and 'crisp voile' (woven)."
"Cat S62 Pro rugged smartphone, WiFi, 4G LTE, for harsh industrial environments and communication.",8517,Telecommunications apparatus,standard,,Clear standard sample: contains primary identifying keywords.
"Linksys WAG120N ADSL2+ WiFi router with built-in modem, for residential broadband network connection.",8517,Telecommunications apparatus,standard,,Clear standard sample: contains primary identifying keywords.
ABS plastic business card holder display stand 10-slot countertop black,3926,Other articles of plastics,standard,,Clear standard: ABS plastic + display stand.
"Premium men's short-sleeve pique knit shirt with spread collar, three-button placket, and tailored fit.",6109,"T-shirts, singlets and vests — knitted or crocheted",overlapping,6205.0,"WCO GRI Rule 1: Fabric construction (knitted jersey) takes precedence over garment style. A knitted polo shirt with collar and buttons is 6109, not 6205."
"Qotom Mini PC with Intel i226-V 2.5G LAN ports, functioning as a network router/gateway appliance.",8517,Telecommunications apparatus,standard,,Clear standard sample: contains primary identifying keywords.
"Designer men's patterned dress shirt, woven silk blend, tailored fit, size 40, formal occasion, not knitted.",6205,Men's shirts — not knitted or crocheted (woven),standard,,Clear standard sample: contains primary identifying keywords.
Injection-molded nylon cable tie assortment 300-piece self-locking zip tie pack mixed sizes,3926,Other articles of plastics,standard,,Clear standard: nylon + molded cable ties.
"Ubiquiti UniFi US-8-60W 8-port PoE+ network switch, managed, for powering IP cameras and access points.",8517,Telecommunications apparatus,standard,,Clear standard sample: contains primary identifying keywords.
"Espresso media cabinet for TV and electronics, entertainment center furniture item.",9403,Other furniture and parts thereof,standard,,"Clear standard sample: contains primary identifying keywords (cabinet, furniture)."
"Knitted t-shirt with a decorative, non-functional button-down placket, inspired by a classic woven formal shirt.",6109,"T-shirts, singlets and vests — knitted or crocheted",edge_case,6205.0,"Edge case: subject is 6109 product (t-shirt); modifier contains 6205 trap keywords (button-down, woven, formal shirt)."
"Antique style display cabinet with glass panels, living room curio furniture.",9403,Other furniture and parts thereof,standard,,"Clear standard sample: contains primary identifying keywords (cabinet, furniture)."
"Child's simple upper body covering, produced from intermeshed loops, with short sleeves for everyday play.",6109,"T-shirts, singlets and vests — knitted or crocheted",ambiguous,,"Ambiguous: missing primary identifiers 'T-shirt' and 'knitted'; inferrable from 'upper body covering', 'short sleeves', and 'intermeshed loops'."
"Netgear 8-port unmanaged Gigabit Ethernet switch, metal casing, for small office local area network expansion.",8517,Telecommunications apparatus,standard,,Clear standard sample: contains primary identifying keywords.
"Front and rear automotive dash camera system, 4K video recording, with dual optical lenses and GPS.",8525,Cameras and broadcast transmission apparatus,standard,,"Clear standard sample: contains primary identifying keywords (dash camera, video recording, optical, lenses)."
"An elevated, flat surface constructed from metal and laminate, suitable for office computing tasks.",9403,Other furniture and parts thereof,ambiguous,,Ambiguous: missing primary identifier 'desk' or 'table'; inferrable from functional context.
"Lightweight outdoor activity top, featuring short sleeves and a breathable, flexible textile for movement.",6109,"T-shirts, singlets and vests — knitted or crocheted",ambiguous,,"Ambiguous: missing primary identifiers 'T-shirt' and 'knitted'; inferrable from 'outdoor activity top', 'short sleeves', and 'flexible textile'."
"Outdoor weatherproof IP surveillance camera, 8 megapixel resolution, with infrared optical lens and built-in video recorder.",8525,Cameras and broadcast transmission apparatus,standard,,"Clear standard sample: contains primary identifying keywords (surveillance camera, megapixel, optical, lens, video recorder)."
"Men's knitted t-shirt, specifically designed as an undershirt for a formal button-down woven dress shirt.",6109,"T-shirts, singlets and vests — knitted or crocheted",edge_case,6205.0,"Edge case: subject is 6109 product (t-shirt); modifier contains 6205 trap keywords (formal, button-down, woven, dress shirt)."
Heavy-duty HDPE outdoor rubbish bin 240L with hinged lid UV-stabilized black,3926,Other articles of plastics,standard,,Clear standard: HDPE + bin.
"A multi-compartment desktop caddy designed to organize pens, clips, and small office supplies.",3926,Other articles of plastics,ambiguous,,Ambiguous: missing primary identifier 'plastic'; inferrable from functional context.
"Industrial inspection camera with flexible probe, Wi-Fi for remote display, and encrypted data transmission for diagnostics.",8525,Cameras and broadcast transmission apparatus,overlapping,8517.0,"WCO GRI Rule 1: Primary function is optical image capture/broadcast (8525), not voice/data transmission (8517), even if device has WiFi or streaming capability."
Small dielectric standoffs providing separation and support for various electrical conductors.,3926,Other articles of plastics,ambiguous,,Ambiguous: missing primary identifier 'plastic'; inferrable from functional context.
Electronic console organizing and relaying inbound and outbound digital traffic for connected endpoints.,8517,Telecommunications apparatus,ambiguous,,Ambiguous: missing primary identifier 'switch' or 'gateway'; inferrable from functional context.
"Digital transceiver for remote control and data transmission to professional broadcast camera systems, including lens adjustments.",8517,Telecommunications apparatus,edge_case,8525.0,"Edge case: subject is 'digital transceiver' (8517); modifier contains 8525 trap keywords ('broadcast camera systems', 'lens')."
"A rigid, lightweight sheath offering impact resistance for small portable electronic devices.",3926,Other articles of plastics,ambiguous,,Ambiguous: missing primary identifier 'plastic'; inferrable from functional context.
"Performance casual top for boys, made from durable cotton percale with a classic point collar.",6205,"Men's or boys' shirts, not knitted or crocheted (woven)",ambiguous,,"Ambiguous: missing primary identifier 'shirt'; inferrable from 'performance casual top for boys,' 'durable cotton percale' (woven fabric), and 'classic point collar'."
Large injection-molded polypropylene storage cabinet 5-shelf with locking door 180cm,3926,Other articles of plastics,overlapping,9403,WCO GRI 3(b): primary classification as plastic article (3926); lacks dedicated furniture seating/work-surface function; 9403 considered.
"Lightweight cotton long-sleeve top designed for gentlemen, featuring a spread collar and structured placket.",6205,"Men's or boys' shirts, not knitted or crocheted (woven)",ambiguous,,"Ambiguous: missing primary identifier 'shirt'; inferrable from 'long-sleeve top designed for gentlemen,' 'spread collar,' and 'structured placket' (indicative of woven construction)."
"Men's black cotton knitted crewneck T-shirt, short sleeve, size L, casual wear.",6109,"T-shirts, singlets and vests — knitted or crocheted",standard,,Clear standard sample: contains primary identifying keywords.
An upright rectangular fixture designed for storing and presenting a collection of printed literature.,9403,Other furniture and parts thereof,ambiguous,,Ambiguous: missing primary identifier 'bookcase' or 'shelf'; inferrable from functional context.
Rigid polystyrene egg carton storage tray 30-cell catering size clear,3926,Other articles of plastics,standard,,Clear standard: polystyrene + egg tray.
"Modular interlocking heavy-duty plastic shelving system, creating versatile storage for garage tools and supplies.",9403,Other furniture and parts thereof,overlapping,3926.0,"WCO GRI Rule 1: Primary function (furniture/seating/storage as part of household furnishing) takes precedence over material. A plastic outdoor chair is 9403, not 3926."
"Men's upperwear for business settings, with a classic pointed collar and robust sateen construction.",6205,"Men's or boys' shirts, not knitted or crocheted (woven)",ambiguous,,"Ambiguous: missing primary identifier 'shirt'; inferrable from 'men's upperwear for business settings,' 'pointed collar,' and 'robust sateen construction' (woven)."
LDPE plastic squeeze bottles condiment dispensing 500ml 6-pack clear,3926,Other articles of plastics,standard,,Clear standard: LDPE + squeeze bottles.
"Youth athletic grey jersey singlet with logo print, polyester, size 10, workout.",6109,"T-shirts, singlets and vests — knitted or crocheted",standard,,Clear standard sample: contains primary identifying keywords.
Molded polypropylene under-bed storage box with wheels and lid 110L flat profile grey,3926,Other articles of plastics,overlapping,9403,WCO GRI 3(b): classified as plastic article (3926); furniture role (9403) considered but product is primarily a plastic utility container.
"Collarless woven chambray shirt with a modest button placket, mirroring a sophisticated short-sleeve tee.",6205,Men's shirts — not knitted or crocheted (woven),overlapping,6109.0,"WCO GRI Rule 1: A garment described as a 'shirt' in woven fabric is 6205. However, if constructed from jersey or knitted fabric, it reverts to 6109 regardless of styling."
"FujiFilm X-T5 mirrorless camera, 40 megapixel APS-C sensor, for high-resolution stills and 6.2K video recording.",8525,Cameras and broadcast transmission apparatus,standard,,"Clear standard sample: contains primary identifying keywords (mirrorless, camera, megapixel, video recording)."
"Men's woven short-sleeve shirt with a relaxed fit, often paired with a lightweight crewneck for warmer climates.",6205,Men's shirts — not knitted or crocheted (woven),edge_case,6109.0,Edge case: subject 'woven short-sleeve shirt' (6205) modified by 'crewneck' (6109 trap keyword).
"Boys' short-sleeve white Oxford shirt, poly-cotton blend, size 12, durable school wear, not knitted.",6205,Men's shirts — not knitted or crocheted (woven),standard,,Clear standard sample: contains primary identifying keywords.
"Women's oversized vintage-style jersey T-shirt, drop shoulder, soft pink, XL.",6109,"T-shirts, singlets and vests — knitted or crocheted",standard,,Clear standard sample: contains primary identifying keywords.
"Athletic top for men, crafted from a breathable, stretchy textile, featuring short sleeves and a rounded neckline.",6109,"T-shirts, singlets and vests — knitted or crocheted",ambiguous,,"Ambiguous: missing primary identifiers 'T-shirt' and 'knitted'; inferrable from 'athletic top', 'stretchy textile', and style details."
"Thermal regulating base layer, for colder conditions, made from a stretchable fabric formed by interlocking loops.",6109,"T-shirts, singlets and vests — knitted or crocheted",ambiguous,,Ambiguous: missing primary identifiers 'T-shirt'/'vest' and 'knitted'; inferrable from 'base layer' and 'stretchable fabric formed by interlocking loops'.
"Men's heavy cotton knitted crewneck T-shirt for workwear, forest green, XXL.",6109,"T-shirts, singlets and vests — knitted or crocheted",standard,,Clear standard sample: contains primary identifying keywords.
Polypropylene modular cube bookcase organizer stackable 4-unit set white 30cm cubes,3926,Other articles of plastics,overlapping,9403,WCO GRI 3(b): plastic article (3926); modular cube appearance suggests furniture (9403) but classification follows primary material and construction.
"Network CCTV camera, 5 megapixel, with varifocal optical lens, designed for integration with a digital video recorder.",8525,Cameras and broadcast transmission apparatus,standard,,"Clear standard sample: contains primary identifying keywords (CCTV camera, megapixel, optical, lens, digital video recorder)."
"Men's foundational underlayer for torso, created from a resilient, form-fitting material offering all-day comfort.",6109,"T-shirts, singlets and vests — knitted or crocheted",ambiguous,,Ambiguous: missing primary identifiers 'singlet'/'T-shirt' and 'knitted'; inferrable from 'underlayer for torso' and 'form-fitting material'.
"Modern dining table with a sleek tabletop made from molded plastic composite material, suitable for outdoor patios.",9403,Other furniture and parts thereof,edge_case,3926.0,"Edge case: subject is 9403 product; modifier contains 3926 trap keywords (molded, plastic)."
"Digital camera with instant sharing features, connecting seamlessly to a smartphone via WiFi for direct uploads.",8525,Cameras and broadcast transmission apparatus,edge_case,8517.0,"Edge case: subject is 8525 product; modifier contains 8517 trap keywords (smartphone, WiFi)."
"Black powder-coated steel modular garage shelving unit, industrial storage furniture.",9403,Other furniture and parts thereof,standard,,"Clear standard sample: contains primary identifying keywords (shelving, furniture)."
"Women's white sleeveless viscose jersey singlet, round neck, size S, undershirt.",6109,"T-shirts, singlets and vests — knitted or crocheted",standard,,Clear standard sample: contains primary identifying keywords.
"Wearable action camera with real-time streaming, capable of pairing with a smartphone for uploading via 5G networks.",8525,Cameras and broadcast transmission apparatus,edge_case,8517.0,"Edge case: subject is 8525 product; modifier contains 8517 trap keywords (smartphone, 5G)."
"Grandstream HT801 VoIP analog telephone adapter gateway, single FXS port for IP telephony network.",8517,Telecommunications apparatus,standard,,Clear standard sample: contains primary identifying keywords.
"A narrow, elevated surface with integrated hooks and small compartments for entryway articles.",9403,Other furniture and parts thereof,ambiguous,,Ambiguous: missing primary identifier 'table' or 'console'; inferrable from functional context.
"Outdoor CCTV camera with remote monitoring capabilities, accessible via a mobile phone over a secure wireless network.",8525,Cameras and broadcast transmission apparatus,edge_case,8517.0,"Edge case: subject is 8525 product; modifier contains 8517 trap keywords (phone, wireless network)."
"Professional conference camera with built-in 5G for direct, secure video communication and live streaming.",8517,Telecommunications apparatus,overlapping,8525.0,"WCO GRI Rule 1: Primary function is voice/data transmission (8517), not optical recording (8525), even if device has a high-quality camera."
Injection-molded polypropylene storage bins designed to fit inside wardrobe and bookcase shelves,3926,Other articles of plastics,edge_case,9403,Edge case: subject is plastic bin (3926); modifier 'wardrobe and bookcase shelves' contains furniture trap keywords from 9403.
"Industrial thermal imaging camera, 640x480 resolution, with a specialized optical lens for non-contact video recording.",8525,Cameras and broadcast transmission apparatus,standard,,"Clear standard sample: contains primary identifying keywords (thermal camera, optical, lens, video recording)."
"Refurbished Apple iPhone 13 Pro Max 5G smartphone, Sierra Blue, 128GB, unlocked, for mobile communication.",8517,Telecommunications apparatus,standard,,Clear standard sample: contains primary identifying keywords.
"Glass-top coffee table with polished chrome legs, living room accent furniture.",9403,Other furniture and parts thereof,standard,,"Clear standard sample: contains primary identifying keywords (table, furniture)."
Calix GigaCenter 844G G-PON ONT fiber optic modem with built-in WiFi router for residential broadband.,8517,Telecommunications apparatus,standard,,Clear standard sample: contains primary identifying keywords.
